,party,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
809,PAN,0,1,0,3.09,0,3.22,1091,Mafra,Lisboa,0,946,2.68,,False,522,1.48,11,35338,52.01,JORGE MANUEL ALCOBIA PEREIRA,2021
810,PCP-PEV,0,1,0,4.39,0,4.58,1550,Mafra,Lisboa,0,946,2.68,,False,522,1.48,11,35338,52.01,CÁTIA PATRICIA DIAS SILVA E ALMEIDA,2021
811,PPD/PSD,1,1,7,57.43,1,59.92,20295,Mafra,Lisboa,0,946,2.68,,False,522,1.48,11,35338,52.01,HÉLDER ANTÓNIO GUERRA DE SOUSA SILVA,2021
812,PS,0,1,2,18.91,0,19.73,6684,Mafra,Lisboa,0,946,2.68,,False,522,1.48,11,35338,52.01,RENATO ALVES DOS SANTOS,2021
813,B.E.,0,1,0,4.73,0,4.95,2605,Odivelas,Lisboa,0,1449,2.63,,False,1037,1.88,4,55069,43.42,PAULO ALEXANDRE SOARES GOMES SOUSA,2021
814,CH,0,1,1,8.71,0,9.12,4795,Odivelas,Lisboa,0,1449,2.63,,False,1037,1.88,4,55069,43.42,NUNO PAULO DE SÁ CARNEIRO BEIRÃO,2021
815,IL,0,1,0,3.06,0,3.2,1684,Odivelas,Lisboa,0,1449,2.63,,False,1037,1.88,4,55069,43.42,FILIPE JORGE SOUSA MARTINS,2021
816,PAN,0,1,0,3.19,0,3.34,1758,Odivelas,Lisboa,0,1449,2.63,,False,1037,1.88,4,55069,43.42,NELSON JOSÉ BASÍLIO SILVA,2021
817,PCP-PEV,0,1,1,10.83,0,11.34,5965,Odivelas,Lisboa,0,1449,2.63,,False,1037,1.88,4,55069,43.42,FERNANDO JORGE PAINHO FERREIRA,2021
818,PPD/PSD.CDS-PP.A.MPT.PDR.PPM.R.I.R,0,1,3,20.13,0,21.08,11083,Odivelas,Lisboa,0,1449,2.63,,False,1037,1.88,4,55069,43.42,MARCO PAULO LEMOS PINA,2021
819,PS,1,1,6,44.84,1,46.96,24693,Odivelas,Lisboa,0,1449,2.63,,False,1037,1.88,4,55069,43.42,HUGO MANUEL DOS SANTOS MARTINS,2021
820,A/PDR,0,1,0,0.55,0,0.59,423,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,HÉLDER FILIPE CORREIA MARQUES DE SÁ,2021
821,BE-L-VP,0,1,1,7.27,0,7.66,5539,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,CARLA ALEXANDRA ORVALHO DA SILVA CASTELO,2021
822,CDS-PP,0,1,0,1.73,0,1.83,1319,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,NUNO MIGUEL TRINDADE GUSMÃO,2021
823,CH,0,1,0,3.71,0,3.91,2827,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,RUI PEDRO DO CARMO TEIXEIRA,2021
824,IL,0,1,0,4.05,0,4.27,3084,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,BRUNO ORLANDO NUNES MOURÃO MARTINS,2021
825,IN-OV,1,1,8,50.86,1,53.66,38776,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,ISALTINO AFONSO MORAIS,2021
826,PAN,0,1,0,2.95,0,3.11,2249,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,PEDRO FILIPE FIDALGO MARQUES,2021
827,PCP-PEV,0,1,0,5.24,0,5.53,3994,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,ANDRÉ LEVY MARTINS COELHO,2021
828,PPD/PSD.MPT,0,1,1,7.91,0,8.35,6032,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,ALEXANDRE DAMASCENO DA SILVA POÇO,2021
829,PS,0,1,1,10.52,0,11.1,8021,Oeiras,Lisboa,0,2561,3.36,,False,1417,1.86,5,76242,51.74,FERNANDO GABRIEL DIAS CURTO,2021
830,B.E.,0,1,0,5.81,0,6.08,7539,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,BRUNO MIGUEL GÓIS CARREIRA,2021
831,CH,0,1,1,9.09,0,9.51,11786,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,NUNO MANUEL PINTO AFONSO,2021
832,IL,0,1,0,2.68,0,2.8,3475,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,PAULO JORGE LEAL DA SILVA CARMONA,2021
833,NC,0,1,0,2.97,0,3.1,3848,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,GUILHERME JACINTO LEITE,2021
834,PAN,0,1,0,3.25,0,3.4,4214,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,MIGUEL NUNO FERREIRA DA COSTA SANTOS,2021
835,PCP-PEV,0,1,1,9.02,0,9.44,11701,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,PEDRO MANUEL DA COSTA VENTURA,2021
836,PPD/PSD.CDS-PP.A.MPT.PDR.PPM.R.I.R,0,1,4,27.53,0,28.79,35702,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,RICARDO AUGUSTUS GUERREIRO BAPTISTA LEITE,2021
837,PS,0,1,5,35.25,1,36.88,45724,Sintra,Lisboa,0,3489,2.69,,False,2228,1.72,11,129706,40.12,BASÍLIO ADOLFO DE MENDONÇA HORTA DA FRANCA,2021
838,PCP-PEV,1,1,3,42.89,1,45.31,2124,Sobral de Monte Agraço,Lisboa,0,153,3.09,,False,111,2.24,3,4952,57.79,JOSÉ ALBERTO QUINTINO DA SILVA,2021
839,PPD/PSD.CDS-PP,0,1,1,24.01,0,25.36,1189,Sobral de Monte Agraço,Lisboa,0,153,3.09,,False,111,2.24,3,4952,57.79,JOAQUIM MARIA REIS CATARINO BIANCARD CRUZ,2021
840,PS,0,1,1,27.77,0,29.33,1375,Sobral de Monte Agraço,Lisboa,0,153,3.09,,False,111,2.24,3,4952,57.79,MARIA DE FÁTIMA CRUZ SIMÕES ESTEVÃO,2021
841,A,0,1,0,5.18,0,5.4,1977,Torres Vedras,Lisboa,0,907,2.38,,False,661,1.73,13,38159,54.92,ANTÓNIO PAULO VELOSO MARTINS BENTO,2021
842,B.E.,0,1,0,2.14,0,2.23,817,Torres Vedras,Lisboa,0,907,2.38,,False,661,1.73,13,38159,54.92,JORGE HUMBERTO BERARDO NOGUEIRA,2021
843,CH,0,1,0,4.12,0,4.29,1571,Torres Vedras,Lisboa,0,907,2.38,,False,661,1.73,13,38159,54.92,PEDRO MANUEL DE AZEVEDO E VASSALLO BORGES DE LEMOS,2021
844,PCP-PEV,0,1,0,4.68,0,4.88,1784,Torres Vedras,Lisboa,0,907,2.38,,False,661,1.73,13,38159,54.92,SÉRGIO RODRIGO DOS SANTOS CIPRIANO,2021
845,PPD/PSD.CDS-PP.PPM,0,1,2,18.27,0,19.06,6973,Torres Vedras,Lisboa,0,907,2.38,,False,661,1.73,13,38159,54.92,DUARTE ROGÉRIO MATOS VENTURA PACHECO,2021
846,PS,1,1,5,39.97,1,41.69,15253,Torres Vedras,Lisboa,0,907,2.38,,False,661,1.73,13,38159,54.92,LAURA MARIA JESUS RODRIGUES,2021
847,UTV,0,1,2,21.53,0,22.45,8216,Torres Vedras,Lisboa,0,907,2.38,,False,661,1.73,13,38159,54.92,SÉRGIO PAULO MATIAS GALVÃO,2021
848,B.E.,0,1,0,6.0,0,6.34,3130,Vila Franca de Xira,Lisboa,0,1849,3.55,,False,877,1.68,6,52130,45.74,CARLOS MIGUEL VILAR PATRÃO,2021
849,CH,0,1,1,8.53,0,9.0,4447,Vila Franca de Xira,Lisboa,0,1849,3.55,,False,877,1.68,6,52130,45.74,JOSÉ MANUEL POMBINHO BARREIRA SOARES,2021
850,PAN,0,1,0,3.87,0,4.08,2018,Vila Franca de Xira,Lisboa,0,1849,3.55,,False,877,1.68,6,52130,45.74,ADÉLIA MARIA SANTOS FERREIRA GOMINHO,2021
851,PCP-PEV,0,1,3,21.93,0,23.14,11432,Vila Franca de Xira,Lisboa,0,1849,3.55,,False,877,1.68,6,52130,45.74,JOANA RITA BONITA CORDEIRO,2021
852,PPD/PSD.CDS-PP.MPT.PPM,0,1,2,14.84,0,15.66,7737,Vila Franca de Xira,Lisboa,0,1849,3.55,,False,877,1.68,6,52130,45.74,DAVID NUNO PATO FERREIRA,2021
853,PS,0,1,5,39.59,1,41.78,20640,Vila Franca de Xira,Lisboa,0,1849,3.55,,False,877,1.68,6,52130,45.74,FERNANDO PAULO FERREIRA,2021
854,CDS-PP,0,1,0,11.62,0,11.94,819,Calheta,Madeira,0,38,0.54,,False,153,2.17,8,7050,57.18,GABRIEL BIZARRO NETO,2021
855,PCP-PEV,0,1,0,0.96,0,0.99,68,Calheta,Madeira,0,38,0.54,,False,153,2.17,8,7050,57.18,JOSÉ FERDINANDO CORREIA COSTA,2021
856,PPD/PSD,1,1,6,71.6,1,73.6,5048,Calheta,Madeira,0,38,0.54,,False,153,2.17,8,7050,57.18,CARLOS MANUEL FIGUEIRA DE ORNELAS TELES,2021
857,PS,0,1,1,12.34,0,12.68,870,Calheta,Madeira,0,38,0.54,,False,153,2.17,8,7050,57.18,SOFIA MARIA ARAÚJO DE CANHA,2021
858,PTP,0,1,0,0.77,0,0.79,54,Calheta,Madeira,0,38,0.54,,False,153,2.17,8,7050,57.18,EMANUEL DOS SANTOS GARCÊS,2021
859,CDS-PP,0,1,0,7.47,0,7.72,1221,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,AMÍLCAR HENRIQUES FIGUEIRA,2021
860,CH,0,1,0,4.27,0,4.41,698,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,MARCO AURÉLIO GONÇALVES FERRO,2021
861,JPP,0,1,0,2.98,0,3.08,487,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,MIGUEL ÂNGELO ANDRADE GANANÇA,2021
862,PCP-PEV,0,1,0,2.31,0,2.38,377,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,MARCO ANTÓNIO MARQUES FERNANDES,2021
863,PDR.MPT.A,0,1,0,0.55,0,0.57,90,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,RICARDO JORGE DA SILVA CAMACHO,2021
864,PPD/PSD,1,1,6,60.25,1,62.25,9845,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,PEDRO EMANUEL ABREU COELHO,2021
865,PS,0,1,1,17.31,0,17.88,2828,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,JACINTO SERRÃO DE FREITAS,2021
866,PTP,0,1,0,1.16,0,1.19,189,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,MARIA DALILA RODRIGUES DE FREITAS,2021
867,R.I.R.,0,1,0,0.5,0,0.51,81,Câmara de Lobos,Madeira,0,166,1.02,,False,359,2.2,5,16341,49.98,CÁTIA CRISTINA MARTINS AZEVEDO SILVA,2021
868,CH,0,1,0,2.58,0,2.66,1476,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,BASÍLIO MIGUEL CÃMARA CASTRO,2021
869,IL,0,1,0,1.26,0,1.3,720,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,DUARTE PAULO BRAZÃO GOUVEIA,2021
870,JPP,0,1,0,1.7,0,1.75,974,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,BRUNO GRACIANO BERENGUER PESTANA,2021
871,L,0,1,0,0.45,0,0.46,257,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,JOSÉ TIAGO SILVA CAMACHO,2021
872,PCP-PEV,0,1,0,2.88,0,2.97,1647,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,EDGAR FREITAS GOMES DA SILVA,2021
873,PPD/PSD.CDS-PP,1,1,6,46.98,1,48.36,26841,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,PEDRO MIGUEL AMARO DE BETTENCOURT CALADO,2021
874,PPM,0,1,0,0.44,0,0.45,251,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,AMÉRICO JOÃO DA SILVA DIAS,2021
875,PS-BE-PAN-MPT-PDR,0,1,5,39.72,0,40.89,22694,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,MIGUEL SÉRGIO CAMACHO SILVA GOUVEIA,2021
876,PTP,0,1,0,1.12,0,1.15,639,Funchal,Madeira,0,478,0.84,,False,1158,2.03,10,57135,53.72,RAQUEL DA CONCEIÇÃO VIEIRA COELHO,2021
877,CH,0,1,0,2.09,0,2.15,239,Machico,Madeira,0,93,0.81,,False,220,1.92,5,11429,55.59,MAGNA MENDONÇA FERREIRA DA COSTA,2021
878,IL,0,1,0,1.71,0,1.75,195,Machico,Madeira,0,93,0.81,,False,220,1.92,5,11429,55.59,ANTÓNIO LUÍS TEIXEIRA DE NÓBREGA,2021
879,JPP,0,1,0,4.51,0,4.64,516,Machico,Madeira,0,93,0.81,,False,220,1.92,5,11429,55.59,CARLOS JESUS NUNES COSTA,2021
880,PCP-PEV,0,1,0,0.77,0,0.79,88,Machico,Madeira,0,93,0.81,,False,220,1.92,5,11429,55.59,PEDRO DAMIÃO DA SILVA CARVALHO,2021
881,PPD/PSD.CDS-PP,0,1,3,35.99,0,37.0,4113,Machico,Madeira,0,93,0.81,,False,220,1.92,5,11429,55.59,NORBERTO MACIEL RIBEIRO,2021
882,PS,1,1,4,51.57,1,53.02,5894,Machico,Madeira,0,93,0.81,,False,220,1.92,5,11429,55.59,RICARDO MIGUEL NUNES FRANCO,2021
883,PTP,0,1,0,0.62,0,0.64,71,Machico,Madeira,0,93,0.81,,False,220,1.92,5,11429,55.59,CÁTIA ANDREIA DA SILVA ALVES RODRIGUES,2021
884,IL,0,1,0,1.12,0,1.15,62,Ponta do Sol,Madeira,0,21,0.38,,False,100,1.81,3,5521,55.72,AIRES ABREU AGUIAR DE PEDRO,2021
885,JPP,0,1,0,3.26,0,3.33,180,Ponta do Sol,Madeira,0,21,0.38,,False,100,1.81,3,5521,55.72,PAULO JORGE PIRES DE FREITAS,2021
886,PCP-PEV,0,1,0,0.87,0,0.89,48,Ponta do Sol,Madeira,0,21,0.38,,False,100,1.81,3,5521,55.72,CÁTIA LETÍCIA DIAS RODRIGUES,2021
887,PPD/PSD.CDS-PP,0,1,2,37.73,0,38.57,2083,Ponta do Sol,Madeira,0,21,0.38,,False,100,1.81,3,5521,55.72,JOSÉ GUALBERTO MENDONÇA FERNANDES,2021
888,PS,1,1,3,53.98,1,55.19,2980,Ponta do Sol,Madeira,0,21,0.38,,False,100,1.81,3,5521,55.72,CÉLIA MARIA DA SILVA PECEGUEIRO,2021
889,PTP,0,1,0,0.67,0,0.69,37,Ponta do Sol,Madeira,0,21,0.38,,False,100,1.81,3,5521,55.72,ANTÓNIO JOSÉ CALAÇA PEREIRA ROQUE,2021
890,R.I.R.,0,1,0,0.18,0,0.19,10,Ponta do Sol,Madeira,0,21,0.38,,False,100,1.81,3,5521,55.72,FÁTIMA CRISTINA MACEDO DE SOUSA CARVALHO,2021
891,PCP-PEV,0,1,0,1.14,0,1.17,24,Porto Moniz,Madeira,0,22,1.05,,False,28,1.34,4,2097,68.71,PAULO JOSÉ RODRIGUES JARDIM,2021
892,PPD/PSD.CDS-PP,0,1,2,41.77,0,42.79,876,Porto Moniz,Madeira,0,22,1.05,,False,28,1.34,4,2097,68.71,EDUARDO RAIMUNDO SÁ SILVA,2021
893,PS,1,1,3,54.7,1,56.03,1147,Porto Moniz,Madeira,0,22,1.05,,False,28,1.34,4,2097,68.71,JOÃO EMANUEL SILVA CÂMARA,2021
894,PCP-PEV,0,1,0,0.61,0,0.62,22,Porto Santo,Madeira,0,30,0.83,,False,60,1.66,1,3619,69.12,JOÃO MÁRIO ANTUNES PALLA LIZARDO,2021
895,PPD/PSD.CDS-PP,1,1,3,50.87,1,52.17,1841,Porto Santo,Madeira,0,30,0.83,,False,60,1.66,1,3619,69.12,NUNO FILIPE MELIM BATISTA,2021
896,PPM,0,1,0,0.72,0,0.74,26,Porto Santo,Madeira,0,30,0.83,,False,60,1.66,1,3619,69.12,ANTÓNIO EMANUEL DRUMOND DE MELIM,2021
897,PS,0,1,1,30.15,0,30.92,1091,Porto Santo,Madeira,0,30,0.83,,False,60,1.66,1,3619,69.12,LUÍS MIGUEL PAIXÃO BRITO,2021
898,UNE,0,1,1,15.17,0,15.56,549,Porto Santo,Madeira,0,30,0.83,,False,60,1.66,1,3619,69.12,LUÍS EDUARDO GUIANCE BETTENCOURT,2021
899,CH,0,1,0,8.02,0,8.38,596,Ribeira Brava,Madeira,0,95,1.28,,False,221,2.97,4,7430,52.99,CELESTINO GOMES SEBASTIÃO,2021
900,PCP-PEV,0,1,0,1.74,0,1.81,129,Ribeira Brava,Madeira,0,95,1.28,,False,221,2.97,4,7430,52.99,MARCELINO VITORINO SANTOS RODRIGUES,2021
901,PS,0,1,1,20.75,0,21.68,1542,Ribeira Brava,Madeira,0,95,1.28,,False,221,2.97,4,7430,52.99,OLGA MARIA DE ASCENSÃO FERNANDES,2021
902,PTP,0,1,0,2.05,0,2.14,152,Ribeira Brava,Madeira,0,95,1.28,,False,221,2.97,4,7430,52.99,JOSÉ BENÍCIO GOUVEIA RODRIGUES,2021
903,RB1,1,1,6,63.19,1,66.0,4695,Ribeira Brava,Madeira,0,95,1.28,,False,221,2.97,4,7430,52.99,RICARDO ANTÓNIO NASCIMENTO,2021
904,CH,0,1,0,2.27,0,2.33,500,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,NÉLIO PAULO DE SOUSA GOUVEIA,2021
905,IL,0,1,0,1.04,0,1.07,229,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,HUMBERTO NUNO DE CARVALHO HOMEM E MORNA GOMES,2021
906,JPP,1,1,5,54.08,1,55.56,11916,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,FILIPE MARTINIANO MARTINS DE SOUSA,2021
907,PCP-PEV,0,1,0,1.65,0,1.7,364,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,DÍRIO LEÃO RAMOS,2021
908,PDR.MPT.A,0,1,0,0.65,0,0.67,144,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,JOSÉ ROBERTO ALVES ARAÚJO JARDIM,2021
909,PPD/PSD.CDS-PP,0,1,2,27.96,0,28.73,6162,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,BRÍCIO ANDRÉ MARTINS DE ARAÚJO,2021
910,PS,0,1,0,7.58,0,7.79,1670,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,MAFALDA ISABEL DE JESUS GONÇALVES FIGUEIRA,2021
911,PTP,0,1,0,1.67,0,1.72,369,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,JOSÉ MANUEL DA MATA VIEIRA COELHO,2021
912,R.I.R.,0,1,0,0.43,0,0.44,95,Santa Cruz,Madeira,0,170,0.77,,False,417,1.89,5,22036,55.07,RENATO FERNANDES ABREU,2021
913,CDS-PP,1,1,4,58.1,1,59.65,2719,Santana,Madeira,0,37,0.79,,False,85,1.82,6,4680,62.68,MÁRCIO DINARTE DA SILVA FERNANDES,2021
914,PCP-PEV,0,1,0,0.92,0,0.94,43,Santana,Madeira,0,37,0.79,,False,85,1.82,6,4680,62.68,ELSA MARGARITA DOS SANTOS MENDONÇA,2021
915,PPD/PSD,0,1,1,27.12,0,27.84,1269,Santana,Madeira,0,37,0.79,,False,85,1.82,6,4680,62.68,JOÃO PAULO MARQUES LUÍS,2021
916,PS,0,1,0,10.66,0,10.95,499,Santana,Madeira,0,37,0.79,,False,85,1.82,6,4680,62.68,TÂNIA JOSÉ ORNELAS FREITAS,2021
917,R.I.R.,0,1,0,0.6,0,0.61,28,Santana,Madeira,0,37,0.79,,False,85,1.82,6,4680,62.68,ELSA MARIA FERREIRA FREITAS,2021
918,IL,0,1,0,12.4,0,12.94,412,São Vicente,Madeira,0,38,1.14,,False,102,3.07,3,3323,55.49,JOSÉ CARLOS GONÇALVES,2021
919,PCP-PEV,0,1,0,0.99,0,1.04,33,São Vicente,Madeira,0,38,1.14,,False,102,3.07,3,3323,55.49,ANTÓNIO CARLOS BAPTISTA MONTEIRO,2021
920,PPD/PSD.CDS-PP,1,1,5,70.48,1,73.58,2342,São Vicente,Madeira,0,38,1.14,,False,102,3.07,3,3323,55.49,JOSÉ ANTÓNIO GONÇALVES GARCÊS,2021
921,PS,0,1,0,9.3,0,9.71,309,São Vicente,Madeira,0,38,1.14,,False,102,3.07,3,3323,55.49,HELENA CARLA BARBADO FREITAS,2021
922,PTP,0,1,0,1.9,0,1.98,63,São Vicente,Madeira,0,38,1.14,,False,102,3.07,3,3323,55.49,ALEXANDRO DÁRIO GOUVEIA PESTANA,2021
923,R.I.R.,0,1,0,0.72,0,0.75,24,São Vicente,Madeira,0,38,1.14,,False,102,3.07,3,3323,55.49,ARTUR JORGE DA SILVA MARTINS,2021
924,B.E.,0,1,0,3.02,0,3.11,59,Alter do Chão,Portalegre,0,33,1.69,,False,24,1.23,4,1955,72.43,ÂNGELO MARIA MARTINS SILVEIRA PEREIRA,2021
925,CH,0,1,0,3.27,0,3.37,64,Alter do Chão,Portalegre,0,33,1.69,,False,24,1.23,4,1955,72.43,MARIA MANUEL MAÇAS ROMÃO TAVARES,2021
926,PCP-PEV,0,1,0,7.16,0,7.38,140,Alter do Chão,Portalegre,0,33,1.69,,False,24,1.23,4,1955,72.43,ROMÃO BUXO DA TRINDADE,2021
927,PPD/PSD.CDS-PP,1,1,3,43.79,1,45.1,856,Alter do Chão,Portalegre,0,33,1.69,,False,24,1.23,4,1955,72.43,FRANCISCO JOSÉ CORDEIRO MIRANDA,2021
928,PS,0,1,2,39.85,0,41.04,779,Alter do Chão,Portalegre,0,33,1.69,,False,24,1.23,4,1955,72.43,FRANCISCO ANTÓNIO MARTINS DOS REIS,2021
929,CH,0,1,0,1.54,0,1.57,30,Arronches,Portalegre,0,28,1.44,,False,15,0.77,3,1949,77.16,RICARDO JORGE AMIGUINHO CORDEIRO,2021
930,PCP-PEV,0,1,0,2.57,0,2.62,50,Arronches,Portalegre,0,28,1.44,,False,15,0.77,3,1949,77.16,FILIPE MIGUEL VICENTE BATUCA,2021
931,PPD/PSD,1,1,3,53.26,1,54.46,1038,Arronches,Portalegre,0,28,1.44,,False,15,0.77,3,1949,77.16,JOÃO CARLOS VENTURA CRESPO,2021
932,PS,0,1,2,40.43,0,41.34,788,Arronches,Portalegre,0,28,1.44,,False,15,0.77,3,1949,77.16,JOÃO LUÍS MOACHO FEITEIRA,2021
933,GCA,0,1,1,13.92,0,14.56,339,Avis,Portalegre,0,60,2.46,,False,46,1.89,6,2435,70.93,MARIA MARGARIDA DE ABREU NARCISO PACHECO QUENTAL,2021
934,PCP-PEV,1,1,3,54.91,1,57.41,1337,Avis,Portalegre,0,60,2.46,,False,46,1.89,6,2435,70.93,NUNO PAULO AUGUSTO DA SILVA,2021
935,PPD/PSD,0,1,0,6.24,0,6.53,152,Avis,Portalegre,0,60,2.46,,False,46,1.89,6,2435,70.93,GISELLE CUSTÓDIA LOPES,2021
936,PS,0,1,1,20.57,0,21.51,501,Avis,Portalegre,0,60,2.46,,False,46,1.89,6,2435,70.93,RUI MIGUEL DELICADO NUNES,2021
937,B.E.,0,1,0,2.17,0,2.26,92,Campo Maior,Portalegre,0,100,2.36,,False,65,1.53,3,4244,60.16,JOSÉ CARLOS SOARES,2021
938,CH,0,1,0,11.59,0,12.06,492,Campo Maior,Portalegre,0,100,2.36,,False,65,1.53,3,4244,60.16,BRUNO MIGUEL GAMINHA BORREGA,2021
939,PCP-PEV,0,1,2,29.95,0,31.16,1271,Campo Maior,Portalegre,0,100,2.36,,False,65,1.53,3,4244,60.16,PAULO IVO SABINO MARTINS DE ALMEIDA,2021
940,PS,1,1,3,52.4,1,54.52,2224,Campo Maior,Portalegre,0,100,2.36,,False,65,1.53,3,4244,60.16,LUIS FERNANDO MARTINS ROSINHA,2021
941,CDS-PP,0,1,0,1.2,0,1.25,24,Castelo de Vide,Portalegre,0,46,2.31,,False,22,1.1,4,1992,74.22,LUCINA AURORA ALEXANDRE DE MORAIS BAPTISTA,2021
942,PCP-PEV,0,1,0,2.86,0,2.96,57,Castelo de Vide,Portalegre,0,46,2.31,,False,22,1.1,4,1992,74.22,FERNANDO CARMOSINO SIMÕES BASTOS SILVA,2021
943,PPD/PSD,1,1,3,50.4,1,52.18,1004,Castelo de Vide,Portalegre,0,46,2.31,,False,22,1.1,4,1992,74.22,ANTÓNIO MANUEL DAS NEVES NOBRE PITA,2021
944,PS,0,1,2,42.12,0,43.61,839,Castelo de Vide,Portalegre,0,46,2.31,,False,22,1.1,4,1992,74.22,CECILIA DE JESUS NEVES CASADO VIDIERA DE OLIVEIRA,2021
945,CH,0,1,0,0.87,0,0.89,20,Crato,Portalegre,0,32,1.39,,False,22,0.96,4,2297,77.24,ANTÓNIO LOURENÇA DE ALMEIDA PINHEIRO,2021
946,NC,0,1,1,19.16,0,19.62,440,Crato,Portalegre,0,32,1.39,,False,22,0.96,4,2297,77.24,JOSÉ CORREIA DA LUZ,2021
947,PCP-PEV,0,1,1,15.28,0,15.65,351,Crato,Portalegre,0,32,1.39,,False,22,0.96,4,2297,77.24,FLORINDA JOÃO REQUEIXA RIBEIRO FORTUNATO RAPOSO,2021
948,PPD/PSD,0,1,1,18.42,0,18.86,423,Crato,Portalegre,0,32,1.39,,False,22,0.96,4,2297,77.24,MARCO FERNANDO DUQUE DE MENDONÇA,2021
949,PS,0,1,2,43.93,1,44.98,1009,Crato,Portalegre,0,32,1.39,,False,22,0.96,4,2297,77.24,JOAQUIM BERNARDO DOS SANTOS DIOGO,2021
950,CH,0,1,0,9.76,0,10.11,1007,Elvas,Portalegre,0,203,1.97,,False,154,1.49,7,10315,54.92,JOSÉ LÉRIAS TRINDADE,2021
951,MCPE,0,1,3,37.87,1,39.22,3906,Elvas,Portalegre,0,203,1.97,,False,154,1.49,7,10315,54.92,JOSÉ ANTÓNIO RONDÃO ALMEIDA,2021
952,PCP-PEV,0,1,0,3.85,0,3.99,397,Elvas,Portalegre,0,203,1.97,,False,154,1.49,7,10315,54.92,JOSÉ ANTÓNIO SARAIVA BRINQUETE,2021
953,PPD/PSD.CDS-PP,0,1,1,13.86,0,14.36,1430,Elvas,Portalegre,0,203,1.97,,False,154,1.49,7,10315,54.92,PAULA CRISTINA HENRIQUES MOTA CALADO,2021
954,PS,0,1,3,31.2,0,32.32,3218,Elvas,Portalegre,0,203,1.97,,False,154,1.49,7,10315,54.92,NUNO MIGUEL FERNANDES MOCINHA,2021
955,CH,0,1,0,8.43,0,8.96,157,Fronteira,Portalegre,0,54,2.9,,False,55,2.95,3,1862,71.15,JOSÉ MANUEL RODRIGUES MADEIRA,2021
956,PCP-PEV,0,1,0,5.42,0,5.76,101,Fronteira,Portalegre,0,54,2.9,,False,55,2.95,3,1862,71.15,BRUNO RICARDO LINO VASSALO,2021
